CM246
Core i7-8700B
E-2124
E-2124G
E-2126G
E-2134
E-2136
E-2144G
E-2146G
E-2174G
E-2176G
E-2176M
E-2186G
E-2186M
E-2224
E-2224G
E-2226G
E-2234
E-2236
E-2244G
E-2246G
E-2274G
E-2276G
E-2276M
E-2278G
E-2286G
E-2286M
E-2288G
G4900
G4900T
G4920
G4930
G4930T
G4950
G5400
G5400T
G5420
G5420T
G5500
G5500T
G5600
G5600T
G5620
HM370
QM370
i3-8100
i3-8100B
i3-8100H
i3-8100T
i3-8109U
i3-8140U
i3-8300
i3-8300T
i3-8350K
i3-9100
i3-9100F
i3-9100T
i3-9300
i3-9300T
i3-9320
i3-9350K
i3-9350KF
i5-8257U
i5-8259U
i5-8260U
i5-8269U
i5-8279U
i5-8300H
i5-8400
i5-8400B
i5-8400H
i5-8400T
i5-8500
i5-8500B
i5-8500T
i5-8600
i5-8600K
i5-8600T
i5-9300H
i5-9300HF
i5-9400
i5-9400F
i5-9400H
i5-9400T
i5-9500
i5-9500F
i5-9500T
i5-9600
i5-9600K
i5-9600KF
i5-9600T
i7-8086K
i7-8557U
i7-8559U
i7-8569U
i7-8700
i7-8700B
i7-8700K
i7-8700T
i7-8750H
i7-8850H
i7-9700
i7-9700F
i7-9700K
i7-9700KF
i7-9700T
i7-9750H
i7-9750HF
i7-9850H
i9-8950HK
i9-9880H
i9-9900
i9-9900K
i9-9900KF
i9-9900KS
i9-9900T
i9-9980HK
