Gold 5315Y
Gold 6338
Gold 6342
Gold 6346
Gold 6348
Platinum 8358
Platinum 8370C
Platinum 8375C
Platinum 8380
Silver 4314
W-3375
i3-1000G1
i3-1000G4
i3-1000NG4
i3-1005G1
i5-1030G4
i5-1030G7
i5-1030NG7
i5-1035G1
i5-1035G4
i5-1035G7
i5-1038NG7
i7-1060G7
i7-1060NG7
i7-1065G7
i7-1068NG7
