3855U
3955U
4405U
4405Y
E3-1220 v5
E3-1225 v5
E3-1230 v5
E3-1235L v5
E3-1240 v5
E3-1240L v5
E3-1245 v5
E3-1260L v5
E3-1268L v5
E3-1270 v5
E3-1275 v5
E3-1280 v5
E3-1505L v5
E3-1505M v5
E3-1515M v5
E3-1535M V5
E3-1545M v5
E3-1558L v5
E3-1565L v5
E3-1575M v5
E3-1578L v5
E3-1585 v5
E3-1585L v5
G3900
G3900E
G3900T
G3900TE
G3902E
G3920
G4400
G4400T
G4400TE
G4500
G4500T
G4520
i3-6006U
i3-6098P
i3-6100
i3-6100E
i3-6100H
i3-6100T
i3-6100TE
i3-6100U
i3-6102E
i3-6120T
i3-6157U
i3-6167U
i3-6300
i3-6300T
i3-6320
i3-6320T
i5-6198DU
i5-6200U
i5-6260U
i5-6267U
i5-6287U
i5-6300HQ
i5-6300U
i5-6350HQ
i5-6360U
i5-6400
i5-6400T
i5-6402P
i5-6440EQ
i5-6440HQ
i5-6442EQ
i5-6500
i5-6500T
i5-6500TE
i5-6585R
i5-6600
i5-6600K
i5-6600T
i5-6685R
i7-6498DU
i7-6500U
i7-6560U
i7-6567U
i7-6600U
i7-6650U
i7-6660U
i7-6700
i7-6700HQ
i7-6700K
i7-6700T
i7-6700TE
i7-6770HQ
i7-6785R
i7-6820EQ
i7-6820HK
i7-6820HQ
i7-6822EQ
i7-6870HQ
i7-6920HQ
i7-6970HQ
i7-7500U
i7-8565U
m3-6Y30
m5-6Y54
m5-6Y57
m7-6Y75
